"db.species","col.species","x","m2","m3","m4","m11","m12","m13","m14","m15","m17","m19","m20","m21","m22","m23","m24","m25","m26","m28","m30","m36","m37","m38","m43","m45","m46","m49","m52","m53","m54","m56","m57","m58","m59","m62","m66","m68","m72","m73","m74","m76","m77","m80","m81","m83","m85","m86","m90","m91","m94","m96","m97","m98","m99","m100","m101","m103","m105","m110","m111","m114","m121","m125","m127","m128","m130","m131","m132","m133","m136","m137","m138","m140","m141","m142","m143","m146","m148","m149","m152","m153","m154","m156","m157","m158","m159","m160","m161","m162","m163","m164","m165","m166","m167","m169","m170","m171","m172","m174","m175","m176","m177","m178","m179","m180","m181","m182","m183","m185","m186","m187","m189","m191","m192","m195","m196","m197","m198","m201","m203","m206","m207","m208","m209","m210","m211","m212","m213","m214","m215","m216","m218","m224","m225","m226","m227","m228","m230","m232","m234","m235","m237","m241","m243","m244","m245","m246","m248","m249","m250","m251","m252","m253","m255","m262","m263","m265","m268","m273","m277","m278","m279","m280","m283","m284","m285","m286","m287","m290","m292","m293","m295","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Spermophilus citellus","Spermophilus citellus","m268",0,0,0,0,0.81,0,0,0.98,0,1,0.77,0,0.25,0,0.06,0,0.51,0,0.32,0,0,1,0,0.08,0.85,0,0.97,0,0,0,1,0,0.06,0,0,0.03,0,0.32,1,0.12,1,0,0,0,0.68,0,0.41,0,0,0,0,0,0.98,0,0,0.14,0,0.85,0,0.98,0,0.09,0.7,0.55,0.82,0,0,0,0,0,0,0.02,0.16,0,0,0,0.01,0,0.74,0,0,0.76,0,0.06,1,0.56,0,0.64,0.2,0.79,0,1,0.63,0.47,0,0,0.01,0,0,0.18,0.57,0.9,0.65,0.06,0.15,0.17,0.99,1,0.94,0.68,0,0.39,0.24,0,0.31,1,1,0,0,0.32,0,0.68,1,0.25,0.68,0.7,0,0,0,0,0,0.15,0.2,0.45,0.68,0.21,0,0,0,0,0,0,0.18,0.04,0,0.97,0,0,0,0,0,0.98,0,0.02,0.37,0,1,0,0,0.53,0.05,0,1,0.01,0,0,0,0.01,0.95,0.07,1,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Spermophilus","Spermophilus citellus",2437304
"Spermophilus suslicus","Spermophilus suslicus","m273",0,0,0.82,0,1,0,0,0.98,0,1,1,0,0.18,0,0,0,0.49,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.49,0,0,0,0,0,0,0,0.98,0,0,0.12,0,1,0,0.98,0,0,0.52,0.98,1,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.98,0,0,0,0,0,1,0,0,0.49,0.48,1,0,1,0.55,0.98,0,0,0,0,0,0,0.49,0,0.49,0,0.43,0.19,0,1,0.98,0.49,0,0.31,0.18,0,0.49,1,1,0,0,0,0,0.49,1,0.52,0.49,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,1,0,0.52,0,0,1,0,0,0,0,0,1,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Spermophilus","Spermophilus suslicus",2437323
"Suncus etruscus","Suncus etruscus","m277",0.01,0,0,0,0.05,0,0.02,0.47,0.01,0.99,0,0,0.13,0.14,0.01,0.04,0.71,0,0.08,0,0.03,0.67,0,0.02,0,0,0.35,0.03,0.42,0.03,0.56,0,0.11,0,0.06,0.89,0,0.01,0.99,0.89,0.11,0.26,0.02,0.27,0.5,0,0.7,0.21,0,0.04,0,0.06,0.57,0.39,0,0.25,0,0.91,0.27,0.91,0,0,0.13,0.19,0.14,0,0.05,0.01,0.34,0,0.03,0,0,0.03,0.12,0.07,0,0.14,0.04,0,0.02,0.93,0,0.03,0.71,0,0.42,0.35,0.01,0,0.02,0.97,0.65,0.37,0,0,0,0,0.09,0.08,0.77,0.93,0.21,0.1,0,0.16,0.95,0.93,0.6,0.95,0.05,0.47,0.16,0,0.31,0.88,0.55,0.52,0.06,0.99,0,0.65,0.99,0.58,0.54,0.75,0.06,0.1,0.01,0,0,0.09,0.8,0.8,0.81,0.26,0.01,0,0,0.22,0,0,0,0.02,0.25,0.05,0,0.14,0.02,0,0,0.53,0.23,0,0.01,0,0,0,1,0.9,0.94,0.07,0.34,0,0.18,0.11,0.01,0.02,0.04,0,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Suncus","Suncus etruscus",2435506
"Sus scrofa","Sus scrofa","m278",0,0,0.25,0,0.41,0.02,0,0.71,0,0.88,0.17,0,0.21,0.08,0.14,0.01,0.65,0,0.06,0,0.01,0.94,0,0,0.11,0,0.47,0.01,0.23,0,0.49,0,0.05,0,0.16,0.48,0,0.44,0.84,0.71,0.38,0.2,0.02,0.12,0.53,0.01,0.32,0.04,0,0.01,0,0.01,0.59,0.13,0,0.25,0,0.79,0.55,0.86,0,0.01,0.3,0.64,0.3,0,0.01,0,0.08,0,0.03,0,0.09,0.03,0.08,0.04,0.01,0.03,0.38,0,0,0.42,0,0.01,0.44,0.03,0.1,0.51,0.19,0.05,0,1,0.58,0.66,0,0,0,0.03,0.13,0.05,0.52,0.37,0.6,0.04,0.12,0.26,0.57,0.72,0.71,0.83,0.01,0.24,0.17,0,0.22,0.82,0.8,0.23,0.01,0.47,0,0.74,0.9,0.49,0.77,0.69,0,0.07,0,0,0.02,0.04,0.31,0.4,0.48,0.07,0,0.02,0,0.54,0.16,0,0.02,0.11,0.08,0.56,0.05,0.15,0.03,0.02,0.02,0.78,0.04,0,0.03,0,0.05,0,0.17,1,0.3,0.02,0.67,0,0.07,0.02,0,0.12,0.57,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa",7705930
"Tadarida teniotis","Tadarida teniotis","m279",0.01,0,0,0,0.06,0.02,0.03,0.36,0.01,0.98,0,0,0.14,0.16,0.04,0.04,0.38,0,0.09,0,0.03,0.72,0.02,0.01,0,0,0.33,0.02,0.47,0.02,0.55,0,0.08,0,0.05,0.43,0,0.03,0.99,0.85,0.12,0.16,0.05,0.31,0.27,0,0.78,0.14,0,0.03,0,0.03,0.34,0.39,0.01,0.26,0,0.86,0.2,0.72,0,0,0.13,0.19,0.22,0,0.04,0.03,0.24,0,0.04,0.01,0.03,0.01,0.19,0.08,0,0.13,0.06,0,0.03,0.81,0,0.05,0.76,0,0.34,0.16,0.09,0,0,0.96,0.57,0.24,0,0,0,0,0.06,0.06,0.35,0.62,0.11,0.11,0,0.22,0.68,0.72,0.45,0.47,0.03,0.34,0.11,0,0.2,0.69,0.37,0.48,0.03,0.95,0,0.36,0.98,0.42,0.32,0.45,0.04,0.09,0,0,0,0.08,0.36,0.38,0.4,0.17,0,0.01,0,0.18,0,0,0,0.04,0.16,0.07,0,0.08,0.05,0,0,0.45,0.07,0,0.03,0,0.01,0,0.28,0.49,1,0.04,0.32,0,0.18,0.08,0.01,0.03,0.07,0,0.95,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Tadarida","Tadarida teniotis",2433009
"Talpa caeca","Talpa caeca","m280",0,0,0,0,0.03,0.07,0.02,0.97,0,0.98,0,0,0.38,0,0.12,0,0.77,0,0.07,0,0,0.92,0.09,0.01,0,0,0.91,0,0,0,0.88,0,0.46,0,0.08,0.76,0,0.02,0.98,0.88,0.07,0.17,0,0.01,0.81,0,1,0.58,0,0,0,0.15,0.98,0,0.04,0.54,0,0.99,0.6,1,0,0,0.04,0.02,0.09,0,0.1,0,0,0.03,0,0,0.04,0,0,0.44,0,0.21,0.13,0,0.04,0.93,0,0.01,0.4,0,0,0.8,0.04,0,0,1,0.69,0.83,0,0,0,0,0.25,0.06,0.78,0.98,0.61,0.2,0,0.61,0.97,0.98,0.93,0.81,0,0.66,0.35,0,0.38,1,0.98,0,0,0.98,0,0.81,0.98,0.62,0.79,0.72,0.01,0.22,0,0,0,0.08,0.62,0.8,0.82,0.01,0,0.02,0,0.6,0,0,0,0.15,0.92,0.03,0,0,0,0,0,0.99,0.55,0,0.04,0,0,0,0.5,0.81,1,1,0.52,0,0,0.37,0.05,0.08,0.14,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Talpa","Talpa caeca",8347063
"Talpa europaea","Talpa europaea","m283",0,0,0.18,0,0.45,0.01,0,0.58,0,0.88,0.21,0,0.23,0.06,0.11,0,0.31,0,0.05,0,0,0.99,0.01,0.01,0.23,0,0.5,0,0.25,0,0.51,0,0.03,0,0.07,0.18,0,0.32,0.79,0.67,0.41,0.08,0.01,0.05,0.28,0.03,0.21,0.01,0,0,0,0,0.69,0.02,0.01,0.25,0,0.76,0.28,0.69,0,0.01,0.43,0.61,0.57,0,0,0,0.03,0,0.06,0,0.11,0.02,0.03,0.03,0.01,0.03,0.35,0,0,0.34,0,0.01,0.71,0.07,0.02,0.3,0.3,0.12,0,0.99,0.6,0.62,0,0.01,0,0.02,0.08,0.03,0.26,0.24,0.34,0.03,0.11,0.27,0.41,0.53,0.58,0.41,0,0.17,0.19,0,0.1,0.63,0.71,0.14,0,0.33,0,0.39,0.91,0.39,0.43,0.34,0,0.03,0,0,0,0.03,0.13,0.19,0.24,0.03,0,0,0,0.28,0.12,0,0.01,0.07,0.04,0.55,0.05,0.09,0,0,0.02,0.7,0.01,0,0.03,0,0.06,0,0.04,0.43,0.13,0.01,1,0,0.01,0,0,0.09,0.44,0.01,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Talpa","Talpa europaea",7872906
"Talpa levantis","Talpa levantis","m284",0,0,0,0,1,0,0,1,0,1,0,0,0.32,0,0,0,0.76,0,1,0,0,1,0,0.44,0,0,1,0,0,0,1,0,0.73,0,0.5,0,0,0,1,0,1,0.5,0,0,0.77,0,1,0,0,0,0,0,0.95,0,0,0.35,0,1,0.5,1,0,0,0.26,0,0,0,0,0,0,0,0,0.27,0.85,0,0,0,0,0,0.79,0,0,1,0,0.5,0.5,0,0,0.77,0,0,0,1,0.75,0.26,0,0,0.14,0,0.5,0.77,0.77,0.95,0,0.47,0,0.47,0.95,1,1,0.77,0,0.48,0.03,0,0.66,1,1,0,0,1,0,0.77,1,0,0.77,0.77,0,0,0,0,0,0.94,0.71,0.71,0.77,0.95,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0.69,0,0,0.95,1,0,0,0,0,0,0.23,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Talpa","Talpa levantis",2436131
"Talpa occidentalis","Talpa occidentalis","m285",0,0,0,0,0,0,0,0.21,0,1,0,0,0.07,0.3,0,0.01,0.49,0,0,0,0.07,0.65,0.03,0,0,0,0,0,0.73,0,0.55,0,0,0,0,0.68,0,0,1,1,0,0.26,0.18,0.75,0.18,0,0.59,0,0,0,0,0,0.07,0.91,0,0.42,0,1,0.23,1,0,0,0.02,0.44,0.14,0,0,0.13,0.48,0,0.01,0,0,0,0.67,0,0,0,0,0,0,0.83,0,0,0.73,0,0.62,0,0.11,0,0.01,1,0.73,0.13,0,0,0,0,0.04,0,0.49,0.84,0,0.02,0,0.31,0.9,1,0.41,0.62,0,0.52,0.1,0,0.4,0.97,0.04,0.99,0,0.85,0,0.24,1,0.27,0.38,0.49,0,0,0,0,0,0,0.45,0.48,0.49,0.37,0,0,0,0.23,0,0,0,0,0,0,0,0.13,0.2,0,0,0.58,0,0,0,0,0,0,0.31,0.68,0.99,0,0.14,0,1,0,0,0.01,0,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Talpa","Talpa occidentalis",2436152
"Talpa romana","Talpa romana","m286",0,0,0,0,0,0,0,0.63,0,1,0,0,0.41,0,0,0,0.34,0,0,0,0,0.67,0.02,0,0,0,1,0,0,0,1,0,0.22,0,0.05,0.42,0,0,1,1,0,0.1,0,0,0.42,0,1,0.9,0,0,0,0.21,0.72,0,0,0.26,0,1,0.14,0.72,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0,0.86,0,0,0.43,0,0,0,1,0.82,0.51,0,0,0,0,0,0,0.45,0.72,0.26,0.18,0,0.31,0.73,0.77,0.72,0.45,0,0.43,0.18,0,0.06,0.77,0.77,0,0,1,0,0.45,1,0.36,0.45,0.5,0,0,0,0,0,0,0.47,0.45,0.45,0,0,0,0,0.14,0,0,0,0,0.66,0,0,0,0,0,0,0.72,0.42,0,0,0,0,0,0.42,0.43,1,0.2,0,0,0,1,0,0.03,0,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Talpa","Talpa romana",2436140
"Talpa stankovici","Talpa stankovici","m287",0,0,0,0,0,0,0.28,0.8,0,1,0,0,0.13,0,0,0,0.17,0,0.78,0,0,1,0.05,0,0,0,1,0,0,0,0.98,0,0,0.01,0.28,0,0,0,1,0,0.95,0.2,0,0,0.52,0,1,0,0,0,0,0,0.8,0,0,0.41,0,1,0.24,0.8,0,0,0.04,0,0,0,0,0,0,0.18,0,0.05,0.6,0,0,0,0,0,0.39,0,0.64,0.8,0,0.32,0.72,0.04,0,0.52,0,0,0,1,0,0.17,0,0,0,0,0.28,0.52,0.43,0.8,0,0.39,0,0.26,0.82,0.82,0.35,0.52,0,0.57,0,0,0.28,0.82,0.82,0,0,1,0,0.52,1,0.27,0.52,0.1,0.15,0.49,0,0,0,0.8,0.42,0.51,0.52,0,0,0,0,0.17,0,0,0,0,0,0.05,0,0,0,0,0,0.8,0,0,0.42,0,0.02,0,0.15,0.42,1,0.15,0,0,0,0,1,0.21,0.25,0.01,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Talpa","Talpa stankovici",2436128
"Ursus arctos","Ursus arctos","m290",0,0,0.9,0.04,0.26,0.01,0,0.4,0,0.12,0.06,0,0.29,0,0.06,0,0.08,0,0.02,0,0,0.96,0,0,0.01,0,0.09,0,0,0,0.08,0,0.01,0,0.07,0.21,0,0.93,0.1,0.65,0.11,0.06,0,0,0.08,0.38,0.04,0,0.37,0,0,0,0.23,0,0.06,0.29,0,0.09,0.87,0.93,0,0,0,0.97,0.02,0,0,0,0,0,0,0,0.08,0.01,0,0,0,0,0.1,0,0,0.06,0,0,0.13,0,0,0.06,0.81,0.01,0,1,0.23,0.94,0.55,0.13,0,0.65,0.02,0.01,0.06,0.06,0.52,0.02,0.02,0.17,0.07,0.08,0.33,0.17,0,0.04,0.11,0,0.03,0.1,0.2,0,0,0.05,0,0.15,0.11,0.02,0.38,0.07,0,0.03,0,0,0.23,0.02,0.02,0.04,0.06,0.01,0,0.01,0,0.86,0.35,0,0,0.07,0.01,0.98,0.67,0,0,0.25,0.46,1,0,0,0,0,0,0,0,0.17,0.02,0,0.2,0,0,0,0,1,0.22,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos",2433433
"Vespertilio murinus","Vespertilio murinus","m292",0,0,0.42,0,0.59,0.03,0,0.93,0,0.82,0.28,0,0.26,0,0.2,0,0.45,0,0.08,0,0,0.99,0.01,0.01,0.23,0,0.53,0,0.09,0,0.43,0,0.03,0,0.17,0.2,0,0.7,0.72,0.55,0.56,0.11,0,0,0.42,0,0.14,0,0.01,0,0,0,0.73,0,0.01,0.28,0,0.64,0.53,0.96,0,0.01,0.22,0.86,0.41,0,0,0,0,0,0,0,0.12,0.03,0,0.02,0.01,0,0.51,0,0,0.22,0,0.01,0.47,0.07,0,0.45,0.49,0.12,0,1,0.52,0.86,0,0,0,0.05,0.06,0.05,0.33,0.25,0.69,0.03,0.19,0.34,0.36,0.56,0.84,0.68,0,0.19,0.2,0,0.11,0.71,0.95,0,0,0.17,0,0.65,0.79,0.36,0.72,0.4,0,0.06,0,0,0.03,0.05,0.08,0.18,0.28,0.04,0,0.03,0,0.53,0.24,0,0.02,0.15,0.03,0.93,0.06,0.06,0,0.01,0.04,0.96,0,0.01,0.05,0,0.1,0,0.01,0.62,0.05,0,0.75,0,0,0,0,0.16,1,0.01,1,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Vespertilio","Vespertilio murinus",2432564
"Vormela peregusna","Vormela peregusna","m293",0,0,0,0,0.91,0,0.05,1,0,1,0.14,0,0.35,0,0,0,0,0,1,0,0,1,0.06,0.32,0.19,0,1,0,0,0,1,0,0.76,0,0.11,0,0,0,1,0,1,0.11,0,0,0.11,0,0.97,0,0,0,0,0,1,0,0,0.54,0,0.99,0.11,1,0,0.16,0,0.01,0.15,0,0,0,0,0,0,0.07,0.65,0,0,0,0,0,0.46,0,0,1,0,0.43,1,0.1,0,0,0,0.33,0,1,0.79,0.38,0,0,0.02,0,0,0.11,0,1,0,0.61,0,0.62,1,1,0.99,0.11,0,0.54,0.28,0,0,0.99,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.72,0,0,0,0.82,0,0,0,0,0,0,0.03,0,0,1,0,0,0,0,0,1,0,0,0.88,0,0.75,0,0,0.09,0.32,0,0.99,0.05,0,0,0.01,0.12,0.69,1,1,"found species on GBIF","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Vormela","Vormela peregusna",2433709
"Vulpes vulpes","Vulpes vulpes","m295",0,0,0.34,0.01,0.3,0.01,0.01,0.48,0,0.74,0.13,0,0.22,0.06,0.08,0.01,0.26,0,0.04,0,0.01,0.91,0.01,0.01,0.13,0,0.35,0,0.22,0,0.36,0,0.03,0,0.06,0.21,0,0.44,0.63,0.7,0.28,0.08,0.01,0.09,0.21,0.1,0.23,0.03,0.1,0.01,0,0.01,0.44,0.09,0.02,0.25,0,0.56,0.43,0.77,0,0,0.25,0.63,0.34,0,0.01,0.01,0.06,0,0.03,0,0.06,0.01,0.05,0.02,0,0.03,0.23,0,0.01,0.31,0,0.01,0.56,0.04,0.08,0.21,0.45,0.07,0,0.97,0.45,0.63,0.14,0.03,0,0.17,0.05,0.02,0.21,0.23,0.36,0.03,0.07,0.23,0.34,0.42,0.51,0.39,0.01,0.15,0.13,0,0.09,0.52,0.53,0.16,0.01,0.33,0,0.33,0.73,0.3,0.41,0.28,0.01,0.03,0,0,0.06,0.03,0.12,0.16,0.2,0.05,0,0.01,0,0.43,0.14,0,0.01,0.05,0.04,0.57,0.17,0.06,0.01,0.06,0.12,0.73,0.02,0,0.02,0,0.04,0,0.07,0.37,0.22,0.01,0.57,0,0.04,0.02,0,0.25,0.34,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes",5219243
